"x","y","pch","col","bg","cex","x.orig","y.orig"
0.967166783954961,62.9546433669402,1,"black",NA,0.6,NA,63.04
0.989055594651654,62.9546433669402,1,"black",NA,0.6,NA,62.95
1.01094440534835,62.9546433669402,1,"black",NA,0.6,NA,62.94
1.03283321604504,62.9546433669402,1,"black",NA,0.6,NA,62.87
1.05472202674173,62.9546433669402,1,"black",NA,0.6,NA,62.84
1.07661083743842,62.9546433669402,1,"black",NA,0.6,NA,62.83
1.09849964813512,62.9546433669402,1,"black",NA,0.6,NA,62.79
1.12038845883181,62.9546433669402,1,"black",NA,0.6,NA,62.71
1.1422772695285,62.9546433669402,1,"black",NA,0.6,NA,62.57
1.16416608022519,62.9546433669402,1,"black",NA,0.6,NA,62.54
1.18605489092189,62.9546433669402,1,"black",NA,0.6,NA,62.5
1.20794370161858,62.9546433669402,1,"black",NA,0.6,NA,62.44
0.835833919774806,61.8340023465416,1,"black",NA,0.6,NA,62.25
0.857722730471499,61.8340023465416,1,"black",NA,0.6,NA,62.01
0.879611541168191,61.8340023465416,1,"black",NA,0.6,NA,61.93
0.901500351864884,61.8340023465416,1,"black",NA,0.6,NA,61.86
0.923389162561576,61.8340023465416,1,"black",NA,0.6,NA,61.82
0.945277973258269,61.8340023465416,1,"black",NA,0.6,NA,61.79
0.967166783954961,61.8340023465416,1,"black",NA,0.6,NA,61.74
0.989055594651654,61.8340023465416,1,"black",NA,0.6,NA,61.74
1.01094440534835,61.8340023465416,1,"black",NA,0.6,NA,61.72
1.03283321604504,61.8340023465416,1,"black",NA,0.6,NA,61.7
1.05472202674173,61.8340023465416,1,"black",NA,0.6,NA,61.66
1.07661083743842,61.8340023465416,1,"black",NA,0.6,NA,61.63
1.09849964813512,61.8340023465416,1,"black",NA,0.6,NA,61.61
1.12038845883181,61.8340023465416,1,"black",NA,0.6,NA,61.45
1.1422772695285,61.8340023465416,1,"black",NA,0.6,NA,61.37
1.16416608022519,61.8340023465416,1,"black",NA,0.6,NA,61.29
0.726389866291344,60.713361326143,1,"black",NA,0.6,NA,61.27
0.748278676988037,60.713361326143,1,"black",NA,0.6,NA,61.14
0.770167487684729,60.713361326143,1,"black",NA,0.6,NA,61.12
0.792056298381421,60.713361326143,1,"black",NA,0.6,NA,61.07
0.813945109078114,60.713361326143,1,"black",NA,0.6,NA,61.04
0.835833919774806,60.713361326143,1,"black",NA,0.6,NA,61.03
0.857722730471499,60.713361326143,1,"black",NA,0.6,NA,61.03
0.879611541168191,60.713361326143,1,"black",NA,0.6,NA,61.02
0.901500351864884,60.713361326143,1,"black",NA,0.6,NA,60.87
0.923389162561576,60.713361326143,1,"black",NA,0.6,NA,60.82
0.945277973258269,60.713361326143,1,"black",NA,0.6,NA,60.74
0.967166783954961,60.713361326143,1,"black",NA,0.6,NA,60.73
0.989055594651654,60.713361326143,1,"black",NA,0.6,NA,60.69
1.01094440534835,60.713361326143,1,"black",NA,0.6,NA,60.68
1.03283321604504,60.713361326143,1,"black",NA,0.6,NA,60.59
1.05472202674173,60.713361326143,1,"black",NA,0.6,NA,60.5
1.07661083743842,60.713361326143,1,"black",NA,0.6,NA,60.48
1.09849964813512,60.713361326143,1,"black",NA,0.6,NA,60.46
1.12038845883181,60.713361326143,1,"black",NA,0.6,NA,60.41
1.1422772695285,60.713361326143,1,"black",NA,0.6,NA,60.38
1.16416608022519,60.713361326143,1,"black",NA,0.6,NA,60.36
1.18605489092189,60.713361326143,1,"black",NA,0.6,NA,60.33
1.20794370161858,60.713361326143,1,"black",NA,0.6,NA,60.3
1.22983251231527,60.713361326143,1,"black",NA,0.6,NA,60.28
1.25172132301196,60.713361326143,1,"black",NA,0.6,NA,60.25
